Name,1st_Serve_Percentage,1st_Serve_Won_Percentage,1st_Srv._Return_Won_Percentage,2nd_Serve_Won_Percentage,2nd_Srv._Return_Won_Percentage,Ace_Percentage,Ace_Against_Percentage,Age,Backhand,Best_Elo_Rank,Best_Rank,Best_Season,Birthplace,Break_Points_Ratio,Break_Points_Saved_Percentage,Break_Points_Won_Percentage,Coach,Country,Current_Elo_Rank,Davis_Cups,Double_Fault_Percentage,Double_Fault_Against_Percentage,Favorite_Surface,GOAT_Rank,Games_Dominance,Games_Won_Percentage,Grand_Slams,H2H_Percentage,Height_cm,Last_Appearance,Masters,Match_Time,Matches_Won_Percentage,Olympics,Plays,Points_Dominance,Prize_Money_USD,Residence,Return_Games_Won_Percentage,Return_Points_Won_Percentage,Seasons,Service_Games_Won_Percentage,Service_Points_Won_Percentage,Sets_Won_Percentage,Team_Cups,Titles,Total_Points_Won_Percentage,Tour_Finals,Turned_Pro,Weeks_at_No._1,Best_Elo_Rank_Date,Best_Rank_Date,Current_Elo_Rank_Points,Current_Rank_Points,GOAT_Rank_Points,Date_Of_Birth,Total_Win_Percentage,Total_Matches_Won,Total_Matches_Lost,Favorite_Surface_Percentage,Hard_Win_Percentage,Hard_Matches_Won,Hard_Matches_Lost,Clay_Win_Percentage,Clay_Matches_Won,Clay_Matches_Lost,Carpet_Win_Percentage,Carpet_Matches_Won,Carpet_Matches_Lost,Grass_Win_Percentage,Grass_Matches_Won,Grass_Matches_Lost
Fabio Fognini,0.591,0.675,0.315,0.484,0.507,0.040999999999999995,0.061,35,Two-handed,14,9,2019.0,,1.0,0.5710000000000001,0.42700000000000005,,Italy,91,0,0.05,0.036000000000000004,Clay,160,0.96,0.494,0,0.465,178,2023-02-27,1,1900-01-01 01:44:00,0.525,0,Right-handed,0.97,16673573,,0.268,0.391,19,0.72,0.597,0.51,0,9,0.495,0,2004.0,0,2014-04-11,2019-07-15,1814,643,18,1987-05-24,0.525,405,366,0.19,0.47,155,175,0.5720000000000001,226,169,0.0,0,1,0.512,22,21
Daniel Elahi Galan Riveros,0.629,0.6829999999999999,0.295,0.499,0.494,0.052000000000000005,0.059000000000000004,26,Two-handed,67,67,,,1.02,0.575,0.435,,Colombia,121,0,0.017,0.04,None,0,0.94,0.49200000000000005,0,,191,2023-02-27,0,1900-01-01 01:51:00,0.46799999999999997,0,Right-handed,0.96,1071603,,0.233,0.37200000000000005,7,0.753,0.615,0.485,0,0,0.496,0,2015.0,0,2022-09-26,2022-11-28,1789,639,0,1996-06-18,0.46799999999999997,36,41,0.07,0.447,17,21,0.486,17,18,0.0,0,0,0.5,2,2
Denis Kudla,0.5820000000000001,0.696,0.26,0.507,0.485,0.07,0.11699999999999999,30,Two-handed,80,53,,,0.94,0.5770000000000001,0.39799999999999996,,United States,139,0,0.040999999999999995,0.040999999999999995,Grass,0,0.74,0.467,0,0.467,180,2023-02-13,0,1900-01-01 01:40:00,0.35200000000000004,0,Right-handed,0.91,3185747,,0.183,0.348,14,0.753,0.617,0.38,0,0,0.484,0,2010.0,0,2021-08-22,2016-05-23,1761,608,0,1992-08-17,0.35200000000000004,69,127,0.43,0.309,38,85,0.23800000000000002,5,16,0.0,0,0,0.5,26,26
Marco Cecchinato,0.6609999999999999,0.68,0.27699999999999997,0.49200000000000005,0.479,0.054000000000000006,0.067,30,One-handed,39,16,2018.0,,0.85,0.57,0.363,,Italy,124,0,0.032,0.034,Clay,321,0.74,0.47,0,0.25,185,2023-02-27,0,1900-01-01 01:43:00,0.37799999999999995,0,Right-handed,0.92,4300067,,0.183,0.35100000000000003,11,0.753,0.616,0.40399999999999997,0,3,0.486,0,2010.0,0,2018-07-23,2019-02-25,1785,605,5,1992-09-30,0.37799999999999995,70,115,0.45,0.196,10,41,0.46399999999999997,58,67,0.0,0,0,0.222,2,7
Emilio Gomez,0.617,0.7040000000000001,0.273,0.466,0.48100000000000004,0.048,0.08199999999999999,31,Two-handed,152,90,,,1.02,0.601,0.409,,Ecuador,159,0,0.033,0.036000000000000004,Clay,0,0.79,0.49,0,,185,2023-02-27,0,1900-01-01 01:54:00,0.43200000000000005,0,Right-handed,0.91,476486,,0.201,0.35100000000000003,12,0.745,0.613,0.46299999999999997,0,0,0.486,0,,0,2017-02-10,2023-02-27,1706,603,0,1991-11-28,0.43200000000000005,19,25,0.25,0.355,11,20,0.5,5,5,0.0,0,0,0.0,0,0
Zhizhen Zhang,0.623,0.7170000000000001,0.271,0.519,0.474,0.084,0.077,26,Two-handed,154,91,,,0.84,0.62,0.319,,China,162,0,0.019,0.039,Hard,0,0.81,0.48100000000000004,0,,193,2023-01-16,0,1900-01-01 01:54:00,0.391,0,Right-handed,0.96,383009,,0.155,0.345,7,0.8079999999999999,0.642,0.469,0,0,0.49200000000000005,0,2012.0,0,2021-03-01,2023-02-06,1698,580,0,1996-10-16,0.391,9,14,1.0,0.4,8,12,0.0,0,1,0.0,0,0,0.0,0,1
Thanasi Kokkinakis,0.609,0.757,0.245,0.491,0.473,0.122,0.09,26,Two-handed,48,69,2022.0,,1.01,0.65,0.353,,Australia,56,0,0.04,0.039,Hard,520,0.84,0.484,0,0.16699999999999998,196,2023-02-27,0,1900-01-01 01:56:00,0.43200000000000005,0,Right-handed,0.96,2054764,,0.146,0.332,9,0.826,0.653,0.445,0,1,0.493,0,2013.0,0,2022-05-22,2015-06-08,1895,577,1,1996-04-10,0.43200000000000005,51,67,0.24,0.457,43,51,0.33299999999999996,4,8,0.0,0,0,0.364,4,7
Max Purcell,0.604,0.688,0.264,0.44299999999999995,0.501,0.08800000000000001,0.08900000000000001,24,Two-handed,121,95,,,0.79,0.544,0.36200000000000004,,Australia,144,0,0.026000000000000002,0.031,Grass,0,0.66,0.44,0,0.0,185,2023-01-16,0,1900-01-01 01:53:00,0.364,0,Right-handed,0.88,1178213,,0.196,0.359,5,0.703,0.591,0.373,0,0,0.473,0,2016.0,0,2021-09-27,2023-03-06,1741,575,0,1998-04-03,0.364,8,14,0.29,0.308,4,9,0.0,0,1,0.0,0,0,0.5,4,4
Facundo Bagnis,0.612,0.672,0.28600000000000003,0.494,0.475,0.06,0.068,33,Two-handed,105,55,,,0.93,0.602,0.37200000000000005,,Argentina,167,0,0.042,0.038,Clay,0,0.71,0.462,0,0.3,183,2023-02-27,0,1900-01-01 01:48:00,0.322,0,Left-handed,0.9,2076350,,0.18899999999999997,0.358,12,0.732,0.603,0.365,0,0,0.48200000000000004,0,2007.0,0,2021-04-04,2016-11-14,1669,570,0,1990-02-27,0.322,37,78,0.69,0.231,6,20,0.369,31,53,0.0,0,0,0.0,0,5
Christian Garin,0.61,0.688,0.311,0.495,0.499,0.051,0.07200000000000001,26,Two-handed,26,17,2020.0,,1.0,0.599,0.402,,Chile,59,0,0.038,0.039,Clay,267,0.98,0.498,0,0.324,185,2023-02-27,0,1900-01-01 01:58:00,0.51,0,Right-handed,0.99,4075746,,0.247,0.38299999999999995,12,0.747,0.613,0.495,0,5,0.49700000000000005,0,2011.0,0,2021-06-13,2021-09-13,1888,566,7,1996-05-30,0.51,100,96,0.43,0.344,22,42,0.611,69,44,0.0,0,0,0.5,9,9
Daniel Altmaier,0.602,0.7,0.27,0.47100000000000003,0.461,0.081,0.062,24,One-handed,97,53,,,1.03,0.64,0.37,,Germany,168,0,0.034,0.032,"Soft (Cl, G)",0,0.71,0.46,0,,188,2023-02-27,0,1900-01-01 01:56:00,0.31,0,Right-handed,0.87,843484,,0.179,0.342,6,0.7490000000000001,0.609,0.36200000000000004,0,0,0.478,0,2014.0,0,2021-11-01,2022-05-23,1661,564,0,1998-09-12,0.31,18,40,0.39,0.182,4,18,0.385,10,16,0.0,0,0,0.4,4,6
Hugo Dellien,0.731,0.624,0.306,0.47600000000000003,0.503,0.026000000000000002,0.059000000000000004,29,Two-handed,127,64,,,0.9,0.59,0.371,,"Bolivia, Plurinational State of",129,0,0.022000000000000002,0.040999999999999995,Clay,0,0.72,0.469,0,,180,2023-02-20,0,1900-01-01 01:48:00,0.402,0,Right-handed,0.92,1350395,,0.225,0.381,11,0.685,0.584,0.428,0,0,0.483,0,2009.0,0,2019-09-23,2022-08-01,1779,561,0,1993-06-16,0.402,33,49,0.28,0.294,5,12,0.45,27,33,0.0,0,0,0.0,0,2
Stan Wawrinka,0.579,0.738,0.298,0.5379999999999999,0.49200000000000005,0.087,0.053,37,One-handed,5,3,2015.0,"Lausanne, Switzerland",1.09,0.642,0.39,Daniel Vallverdu,Switzerland,34,1,0.031,0.033,"Slow (H, Cl)",36,1.3,0.528,3,0.7340000000000001,183,2023-02-20,1,1900-01-01 01:52:00,0.625,0,Right-handed,1.08,34780605,"St. Barthelemy, Switzerland",0.22399999999999998,0.374,21,0.828,0.653,0.594,0,16,0.513,0,2002.0,0,2014-02-17,2014-01-27,1949,557,104,1985-03-28,0.625,546,327,0.32,0.629,319,188,0.657,186,97,0.47100000000000003,8,9,0.49200000000000005,32,33
