Name,1st_Serve_Percentage,1st_Serve_Won_Percentage,1st_Srv._Return_Won_Percentage,2nd_Serve_Won_Percentage,2nd_Srv._Return_Won_Percentage,Ace_Percentage,Ace_Against_Percentage,Age,Backhand,Best_Elo_Rank,Best_Rank,Best_Season,Birthplace,Break_Points_Ratio,Break_Points_Saved_Percentage,Break_Points_Won_Percentage,Coach,Country,Current_Elo_Rank,Davis_Cups,Double_Fault_Percentage,Double_Fault_Against_Percentage,Favorite_Surface,GOAT_Rank,Games_Dominance,Games_Won_Percentage,Grand_Slams,H2H_Percentage,Height_cm,Last_Appearance,Masters,Match_Time,Matches_Won_Percentage,Olympics,Plays,Points_Dominance,Prize_Money_USD,Residence,Return_Games_Won_Percentage,Return_Points_Won_Percentage,Seasons,Service_Games_Won_Percentage,Service_Points_Won_Percentage,Sets_Won_Percentage,Team_Cups,Titles,Total_Points_Won_Percentage,Tour_Finals,Turned_Pro,Weeks_at_No._1,Best_Elo_Rank_Date,Best_Rank_Date,Current_Elo_Rank_Points,Current_Rank_Points,GOAT_Rank_Points,Date_Of_Birth,Total_Win_Percentage,Total_Matches_Won,Total_Matches_Lost,Favorite_Surface_Percentage,Hard_Win_Percentage,Hard_Matches_Won,Hard_Matches_Lost,Clay_Win_Percentage,Clay_Matches_Won,Clay_Matches_Lost,Carpet_Win_Percentage,Carpet_Matches_Won,Carpet_Matches_Lost,Grass_Win_Percentage,Grass_Matches_Won,Grass_Matches_Lost
Frances Tiafoe,0.609,0.7190000000000001,0.267,0.52,0.49700000000000005,0.084,0.11,25,Two-handed,17,14,2022.0,,1.0,0.618,0.38299999999999995,,United States,21,0,0.03,0.038,Hard,284,0.97,0.498,0,0.35700000000000004,188,2023-02-27,0,1900-01-01 01:57:00,0.505,0,Right-handed,0.99,5602454,,0.192,0.355,10,0.8029999999999999,0.6409999999999999,0.514,1,1,0.498,0,2015.0,0,2023-01-09,2023-02-06,2037,2395,7,1998-01-20,0.505,143,140,0.22,0.529,109,97,0.41200000000000003,21,30,0.0,0,0,0.5,13,13
Pablo Carreno Busta,0.652,0.693,0.28800000000000003,0.524,0.521,0.052000000000000005,0.087,31,Two-handed,10,10,2017.0,,1.06,0.613,0.41200000000000003,,Spain,29,1,0.023,0.039,"Slow (H, Cl)",146,1.16,0.516,0,0.5760000000000001,188,2023-02-13,1,1900-01-01 01:45:00,0.5579999999999999,0,Right-handed,1.04,13386749,,0.244,0.38,12,0.79,0.634,0.5539999999999999,0,7,0.507,0,2009.0,0,2021-07-31,2017-09-11,1985,2240,22,1991-07-12,0.5579999999999999,268,212,0.35,0.5710000000000001,149,112,0.565,113,87,0.0,0,0,0.316,6,13
Alex De Minaur,0.602,0.701,0.309,0.528,0.515,0.045,0.069,24,Two-handed,15,15,2019.0,,1.09,0.615,0.419,,Australia,15,0,0.032,0.037000000000000005,"Fast (H, G)",212,1.18,0.518,0,0.636,183,2023-02-27,0,1900-01-01 01:56:00,0.588,0,Right-handed,1.06,6834777,,0.25,0.389,7,0.7879999999999999,0.632,0.563,0,7,0.51,0,2015.0,0,2023-03-06,2021-06-28,2083,2165,11,1999-02-17,0.588,157,110,0.34,0.621,123,75,0.405,15,22,0.0,0,0,0.594,19,13
Tommy Paul,0.612,0.7,0.295,0.517,0.503,0.054000000000000006,0.062,25,Two-handed,20,18,2023.0,,0.99,0.603,0.39399999999999996,,United States,20,0,0.028999999999999998,0.037000000000000005,"Fast (H, G)",367,1.07,0.511,0,0.433,185,2023-02-27,0,1900-01-01 01:52:00,0.5489999999999999,0,Right-handed,1.01,2646856,,0.231,0.375,9,0.784,0.629,0.523,0,1,0.502,0,2015.0,0,2023-01-30,2023-02-13,2054,2000,4,1997-05-17,0.5489999999999999,100,82,0.27,0.5760000000000001,80,59,0.419,13,18,0.0,0,0,0.583,7,5
Borna Coric,0.623,0.722,0.271,0.529,0.498,0.076,0.09,26,Two-handed,13,12,2018.0,,1.01,0.62,0.384,,Croatia,24,1,0.027999999999999997,0.036000000000000004,All-Rounder,191,1.08,0.506,0,0.57,188,2023-02-27,1,1900-01-01 01:49:00,0.544,0,Right-handed,1.03,8509168,,0.201,0.36,11,0.813,0.65,0.526,0,3,0.504,0,2013.0,0,2019-01-07,2018-11-05,2021,1905,14,1996-11-14,0.544,190,159,0.03,0.544,123,103,0.5489999999999999,56,46,0.0,0,0,0.524,11,10
Lorenzo Musetti,0.652,0.6829999999999999,0.301,0.517,0.51,0.042,0.055999999999999994,21,One-handed,31,18,2022.0,,0.99,0.5760000000000001,0.419,,Italy,44,0,0.027000000000000003,0.035,Clay,388,1.04,0.502,0,0.222,185,2023-02-27,0,1900-01-01 01:51:00,0.53,0,Right-handed,1.01,1506610,,0.239,0.38,4,0.7709999999999999,0.625,0.524,0,2,0.503,0,2019.0,0,2022-11-07,2023-01-30,1919,1855,3,2002-03-03,0.53,62,55,0.2,0.5,31,31,0.608,31,20,0.0,0,0,0.0,0,4
Nick Kyrgios,0.659,0.7759999999999999,0.244,0.534,0.47200000000000003,0.182,0.111,27,Two-handed,6,13,2022.0,"Canberra, Australia",1.19,0.6729999999999999,0.39,Sebastien Grosjean,Australia,7,0,0.040999999999999995,0.039,"Fast (H, G)",135,1.47,0.527,0,0.586,193,2022-10-03,0,1900-01-01 01:38:00,0.652,0,Right-handed,1.08,9538282,"Canberra, AUS / Nassau, BAH",0.165,0.331,10,0.888,0.6940000000000001,0.618,0,7,0.512,0,2013.0,0,2022-08-15,2016-10-24,2157,1825,24,1995-04-27,0.652,204,109,0.19,0.6709999999999999,141,69,0.574,27,20,0.0,0,0,0.667,36,18
Matteo Berrettini,0.628,0.782,0.282,0.5329999999999999,0.465,0.12300000000000001,0.059000000000000004,26,Two-handed,7,6,2021.0,,1.16,0.685,0.36700000000000005,,Italy,12,0,0.024,0.036000000000000004,Grass,135,1.49,0.529,0,0.72,196,2023-02-27,0,1900-01-01 01:59:00,0.65,0,Right-handed,1.13,9279844,,0.18100000000000002,0.35,7,0.879,0.6890000000000001,0.614,0,7,0.516,0,2015.0,0,2021-07-12,2022-01-31,2106,1780,24,1996-04-12,0.65,147,79,0.5,0.5660000000000001,69,53,0.6920000000000001,45,20,0.0,0,0,0.846,33,6
Marin Cilic,0.568,0.769,0.301,0.523,0.502,0.11599999999999999,0.071,34,Two-handed,6,3,2014.0,"Medjugorje, BIH",1.07,0.6409999999999999,0.385,Ivan Cinkus,Croatia,23,1,0.037000000000000005,0.035,Grass,52,1.4,0.535,1,0.7190000000000001,198,2023-01-02,1,1900-01-01 01:51:00,0.64,0,Right-handed,1.12,29829383,"Monte Carlo, Monaco",0.226,0.37799999999999995,19,0.838,0.6629999999999999,0.605,0,20,0.518,0,2005.0,0,2014-09-08,2018-01-29,2030,1745,72,1988-09-28,0.64,581,327,0.21,0.638,359,204,0.616,138,86,0.444,4,5,0.7140000000000001,80,32
Grigor Dimitrov,0.624,0.745,0.29600000000000004,0.512,0.493,0.085,0.069,31,One-handed,6,3,2017.0,"Haskovo, Bulgaria",1.04,0.628,0.386,Dante Bottini,Bulgaria,26,0,0.044000000000000004,0.036000000000000004,All-Rounder,88,1.25,0.526,0,0.629,188,2023-02-20,1,1900-01-01 01:45:00,0.596,0,Right-handed,1.08,21265457,"Monte-Carlo, Monaco",0.22,0.371,16,0.825,0.657,0.573,0,8,0.513,1,2008.0,0,2018-01-29,2017-11-20,2014,1620,42,1991-05-16,0.596,378,256,0.09,0.604,255,167,0.583,84,60,1.0,2,0,0.561,37,29
Sebastian Korda,0.6409999999999999,0.705,0.314,0.505,0.508,0.073,0.051,22,Two-handed,15,26,2021.0,,1.14,0.636,0.41600000000000004,,United States,18,0,0.031,0.035,All-Rounder,473,1.27,0.529,0,0.542,196,2023-01-16,0,1900-01-01 01:55:00,0.612,0,Right-handed,1.06,2070474,,0.255,0.387,5,0.799,0.634,0.595,0,1,0.511,0,2018.0,0,2023-02-20,2023-01-30,2071,1550,2,2000-07-05,0.612,71,45,0.08,0.615,48,30,0.607,17,11,0.0,0,0,0.6,6,4
Roberto Bautista Agut,0.66,0.6990000000000001,0.304,0.539,0.534,0.040999999999999995,0.091,34,Two-handed,9,9,2019.0,,1.09,0.619,0.414,,Spain,27,1,0.025,0.037000000000000005,Grass,148,1.36,0.537,0,0.66,183,2023-02-20,0,1900-01-01 01:45:00,0.623,0,Right-handed,1.11,15665078,,0.265,0.396,14,0.805,0.645,0.597,0,11,0.518,0,2005.0,0,2019-07-15,2019-11-04,1990,1465,22,1988-04-14,0.623,381,231,0.19,0.628,252,149,0.5870000000000001,88,62,0.0,0,0,0.695,41,18
Alejandro Davidovich Fokina,0.674,0.652,0.32,0.49700000000000005,0.509,0.03,0.069,23,Two-handed,24,27,2022.0,,0.95,0.57,0.41,,Spain,41,0,0.033,0.035,Clay,428,0.97,0.498,0,0.33299999999999996,183,2023-02-27,0,1900-01-01 02:00:00,0.49700000000000005,0,Right-handed,0.99,2733019,,0.267,0.39299999999999996,5,0.725,0.602,0.5,0,0,0.498,0,2019.0,0,2021-06-13,2022-04-18,1926,1390,3,1999-06-05,0.49700000000000005,71,72,0.25,0.474,37,41,0.545,30,25,0.0,0,0,0.4,4,6
Daniel Evans,0.613,0.7040000000000001,0.298,0.509,0.503,0.054000000000000006,0.085,32,One-handed,25,22,2021.0,,1.06,0.613,0.41200000000000003,,United Kingdom,43,1,0.035,0.037000000000000005,Hard,412,1.03,0.5,0,0.442,175,2023-02-27,0,1900-01-01 02:06:00,0.48700000000000004,0,Right-handed,1.01,4894127,,0.23199999999999998,0.376,16,0.775,0.628,0.496,0,1,0.502,0,2006.0,0,2021-02-08,2021-09-27,1923,1380,3,1990-05-23,0.48700000000000004,131,138,0.29,0.521,101,93,0.359,14,25,0.0,0,0,0.444,16,20
Denis Shapovalov,0.593,0.76,0.281,0.517,0.48,0.10099999999999999,0.049,23,One-handed,15,10,2019.0,,1.09,0.6559999999999999,0.376,,Canada,30,1,0.065,0.039,"Slow (H, Cl)",196,1.2,0.517,0,0.595,185,2023-02-27,0,1900-01-01 01:56:00,0.5579999999999999,0,Left-handed,1.05,9059949,,0.192,0.35600000000000004,8,0.8390000000000001,0.6609999999999999,0.537,1,1,0.507,0,2017.0,0,2021-07-12,2020-09-21,1973,1380,14,1999-04-15,0.5579999999999999,172,136,0.29,0.579,132,96,0.5379999999999999,28,24,0.0,0,0,0.429,12,16
Miomir Kecmanovic,0.611,0.696,0.282,0.537,0.516,0.054000000000000006,0.094,23,Two-handed,27,27,2020.0,,1.04,0.618,0.39899999999999997,,Serbia,40,0,0.027000000000000003,0.043,All-Rounder,520,1.01,0.5,0,0.42100000000000004,183,2023-02-27,0,1900-01-01 01:48:00,0.513,0,Right-handed,1.02,3380827,,0.222,0.37200000000000005,6,0.78,0.634,0.503,0,1,0.502,0,2017.0,0,2022-08-08,2023-01-16,1928,1290,1,1999-08-31,0.513,97,92,0.09,0.508,64,62,0.5329999999999999,24,21,0.0,0,0,0.5,9,9
Francisco Cerundolo,0.632,0.653,0.341,0.496,0.511,0.032,0.043,24,Two-handed,46,24,2022.0,,1.03,0.614,0.397,,Argentina,69,0,0.039,0.03,Clay,473,1.0,0.496,0,0.0,185,2023-02-27,0,1900-01-01 01:55:00,0.466,0,Right-handed,1.0,911875,,0.271,0.405,5,0.7290000000000001,0.595,0.462,0,1,0.499,0,2018.0,0,2022-07-25,2022-07-25,1870,1275,2,1998-08-13,0.466,34,39,0.25,0.385,10,16,0.535,23,20,0.0,0,0,0.25,1,3
Botic Van De Zandschulp,0.63,0.7240000000000001,0.312,0.48,0.494,0.08,0.059000000000000004,27,Two-handed,27,22,2021.0,,1.07,0.624,0.40399999999999997,,Netherlands,31,0,0.05,0.035,All-Rounder,630,1.1,0.509,0,0.5710000000000001,188,2023-02-27,0,1900-01-01 01:58:00,0.5670000000000001,0,Right-handed,1.03,1536219,,0.23800000000000002,0.379,4,0.784,0.634,0.535,0,0,0.505,0,2013.0,0,2022-09-24,2022-08-29,1962,1205,1,1995-10-04,0.5670000000000001,59,45,0.04,0.562,41,32,0.579,11,8,0.0,0,0,0.583,7,5
Yoshihito Nishioka,0.6559999999999999,0.638,0.273,0.532,0.531,0.024,0.11,27,Two-handed,32,32,2022.0,,0.96,0.588,0.397,,Japan,33,0,0.021,0.04,Hard,388,0.84,0.478,0,0.375,170,2023-02-27,0,1900-01-01 01:46:00,0.47,0,Left-handed,0.94,3417062,,0.231,0.375,10,0.726,0.601,0.46399999999999997,0,2,0.489,0,,0,2023-01-30,2023-02-20,1950,1142,3,1995-09-27,0.47,101,114,0.66,0.508,90,87,0.345,10,19,0.0,0,0,0.111,1,8
Sebastian Baez,0.721,0.64,0.327,0.529,0.506,0.025,0.045,22,Two-handed,49,31,2023.0,,1.0,0.595,0.405,,Argentina,82,0,0.026000000000000002,0.031,Clay,433,1.01,0.499,0,0.5,170,2023-02-27,0,1900-01-01 01:52:00,0.479,0,Right-handed,1.0,738269,,0.258,0.392,3,0.745,0.609,0.48,0,2,0.498,0,2018.0,0,2022-07-18,2022-08-01,1834,1135,2,2000-12-28,0.479,34,37,0.69,0.136,3,19,0.644,29,16,0.0,0,0,0.5,2,2
Tallon Griekspoor,0.638,0.725,0.23399999999999999,0.509,0.47700000000000004,0.08900000000000001,0.10300000000000001,26,Two-handed,45,36,2023.0,,0.97,0.637,0.35100000000000003,,Netherlands,45,0,0.036000000000000004,0.039,"Fast (H, G)",520,0.74,0.479,0,0.5,188,2023-02-27,0,1900-01-01 01:52:00,0.429,0,Right-handed,0.92,1036488,,0.14,0.325,7,0.812,0.647,0.44799999999999995,0,1,0.489,0,2015.0,0,2023-03-06,2023-03-06,1917,1034,1,1996-07-02,0.429,33,44,0.14,0.434,23,30,0.385,5,8,0.0,0,0,0.455,5,6
Maxime Cressy,0.613,0.787,0.243,0.534,0.43,0.18,0.095,25,Two-handed,42,31,2022.0,,1.15,0.66,0.392,,United States,46,0,0.1,0.040999999999999995,Grass,520,1.13,0.509,0,0.5,198,2023-02-27,0,1900-01-01 02:05:00,0.5,0,Right-handed,1.0,1006731,,0.133,0.311,4,0.882,0.6890000000000001,0.498,0,1,0.501,0,2019.0,0,2023-02-13,2022-08-08,1914,1016,1,1997-05-08,0.5,40,40,0.69,0.483,28,30,0.16699999999999998,1,5,0.0,0,0,0.688,11,5
Diego Sebastian Schwartzman,0.63,0.657,0.336,0.5,0.5489999999999999,0.025,0.071,30,Two-handed,11,8,2019.0,,1.03,0.5720000000000001,0.44,,Argentina,67,0,0.038,0.039,"Slow (H, Cl)",181,1.16,0.518,0,0.5920000000000001,170,2023-02-27,0,1900-01-01 01:53:00,0.5489999999999999,0,Right-handed,1.05,12088074,,0.32,0.42,11,0.7240000000000001,0.599,0.5379999999999999,0,4,0.508,0,2010.0,0,2020-11-02,2020-10-12,1873,1010,16,1992-08-16,0.5489999999999999,236,194,0.42,0.54,114,97,0.579,114,83,0.0,0,0,0.364,8,14
John Isner,0.691,0.7879999999999999,0.223,0.56,0.418,0.213,0.091,37,Two-handed,10,8,2018.0,"Greensboro, North Carolina, U.S.",1.04,0.708,0.303,David Macpherson,United States,32,0,0.026000000000000002,0.037000000000000005,Grass,75,1.24,0.511,0,0.622,208,2023-02-27,1,1900-01-01 01:51:00,0.615,0,Right-handed,1.05,21121427,"Dallas, Texas, U.S.",0.10099999999999999,0.29600000000000004,17,0.9179999999999999,0.7170000000000001,0.585,0,16,0.506,0,2007.0,0,2012-04-13,2018-07-16,1960,995,49,1985-04-26,0.615,482,302,0.22,0.623,347,210,0.5579999999999999,82,65,0.0,0,0,0.6629999999999999,53,27
David Goffin,0.5820000000000001,0.715,0.313,0.503,0.526,0.068,0.076,32,Two-handed,8,7,2017.0,,1.03,0.599,0.413,,Belgium,58,0,0.043,0.038,"Slow (H, Cl)",119,1.2,0.524,0,0.644,180,2023-02-20,0,1900-01-01 01:42:00,0.584,0,Right-handed,1.06,15682647,,0.273,0.397,13,0.773,0.626,0.5589999999999999,0,6,0.51,0,2009.0,0,2018-05-21,2017-11-20,1891,985,28,1990-12-07,0.584,319,227,0.14,0.5770000000000001,202,148,0.611,88,56,0.0,0,0,0.56,28,22
Ben Shelton,0.611,0.7809999999999999,0.25,0.532,0.408,0.114,0.081,20,,80,41,2023.0,,1.01,0.647,0.35700000000000004,,United States,86,0,0.055999999999999994,0.040999999999999995,Hard,630,0.81,0.504,0,,193,2023-02-27,0,1900-01-01 01:52:00,0.5329999999999999,0,,0.95,716478,,0.115,0.301,2,0.8590000000000001,0.684,0.5429999999999999,0,0,0.49200000000000005,0,,0,2023-02-13,2023-02-06,1824,964,1,2002-10-09,0.5329999999999999,8,7,1.0,0.5329999999999999,8,7,0.0,0,0,0.0,0,0,0.0,0,0
Bernabe Zapata Miralles,0.64,0.625,0.32299999999999995,0.491,0.513,0.028999999999999998,0.063,26,Two-handed,75,42,,,1.01,0.545,0.461,,Spain,76,0,0.027000000000000003,0.037000000000000005,Clay,0,0.84,0.47600000000000003,0,0.0,185,2023-02-20,0,1900-01-01 01:52:00,0.40399999999999997,0,Right-handed,0.92,760023,,0.282,0.391,5,0.6629999999999999,0.5770000000000001,0.405,0,0,0.485,0,2015.0,0,2023-02-27,2023-02-27,1850,959,0,1997-01-12,0.40399999999999997,23,34,0.38,0.278,5,13,0.5,18,18,0.0,0,0,0.0,0,3
Richard Gasquet,0.614,0.7290000000000001,0.301,0.53,0.506,0.071,0.085,36,One-handed,9,7,2013.0,"Beziers, France",1.04,0.608,0.406,Thierry Ascione,France,39,1,0.032,0.034,Grass,94,1.33,0.531,0,0.685,185,2023-02-20,0,1900-01-01 01:40:00,0.616,0,Right-handed,1.09,19265661,"Neuchatel, Switzerland",0.244,0.381,22,0.816,0.652,0.593,0,16,0.516,0,2002.0,0,2007-10-08,2007-07-09,1936,955,39,1986-06-18,0.616,594,370,0.13,0.608,351,226,0.613,160,101,0.563,9,7,0.67,73,36
Jeffrey John Wolf,0.588,0.727,0.28600000000000003,0.49200000000000005,0.483,0.09300000000000001,0.126,24,Two-handed,43,39,,,0.99,0.609,0.389,,United States,50,0,0.045,0.04,Hard,0,0.93,0.498,0,,183,2023-02-27,0,1900-01-01 01:51:00,0.51,0,Right-handed,0.97,479745,,0.20600000000000002,0.35700000000000004,4,0.777,0.63,0.524,0,0,0.494,0,2019.0,0,2023-02-13,2023-02-13,1912,951,0,1998-12-21,0.51,25,24,1.0,0.511,24,23,0.5,1,1,0.0,0,0,0.0,0,0
Benjamin Bonzi,0.604,0.7240000000000001,0.278,0.513,0.504,0.08,0.1,26,Two-handed,57,42,,,1.05,0.622,0.39899999999999997,,France,57,0,0.028999999999999998,0.039,Grass,0,1.09,0.507,0,0.25,185,2023-02-20,0,1900-01-01 01:50:00,0.455,0,Right-handed,1.01,1223800,,0.20600000000000002,0.363,6,0.8109999999999999,0.6409999999999999,0.48,0,0,0.503,0,2015.0,0,2023-03-06,2023-02-06,1893,944,0,1996-06-09,0.455,35,42,0.5,0.442,23,29,0.3,3,7,0.0,0,0,0.6,9,6
Alexander Bublik,0.583,0.768,0.285,0.449,0.45799999999999996,0.158,0.063,25,Two-handed,36,30,2022.0,,1.0,0.621,0.381,,Kazakhstan,48,0,0.08199999999999999,0.034,Grass,520,0.93,0.493,0,0.391,196,2023-02-27,0,1900-01-01 01:39:00,0.5,0,Right-handed,0.96,3117630,,0.18600000000000003,0.35,8,0.8,0.635,0.48700000000000004,0,1,0.494,0,2016.0,0,2022-10-17,2022-02-21,1913,935,1,1997-06-17,0.5,105,105,0.38,0.5,74,74,0.379,11,18,0.0,0,0,0.606,20,13
Jiri Lehecka,0.635,0.68,0.278,0.517,0.456,0.065,0.061,21,,52,37,2023.0,,1.01,0.61,0.39299999999999996,,Czech Republic,53,0,0.033,0.034,Hard,630,0.76,0.483,0,0.0,185,2023-02-27,0,1900-01-01 01:51:00,0.425,0,Right-handed,0.91,347854,,0.179,0.34700000000000003,4,0.763,0.62,0.45899999999999996,0,0,0.48700000000000004,0,,0,2023-02-27,2023-02-06,1901,932,1,2001-11-08,0.425,17,23,0.26,0.48100000000000004,13,14,0.364,4,7,0.0,0,0,0.0,0,2
Brandon Nakashima,0.623,0.747,0.266,0.54,0.498,0.092,0.10400000000000001,21,Two-handed,35,43,2022.0,,1.03,0.619,0.39399999999999996,,United States,47,0,0.024,0.040999999999999995,"Fast (H, G)",520,1.16,0.514,0,0.429,188,2023-02-27,0,1900-01-01 01:58:00,0.563,0,Right-handed,1.08,918463,,0.184,0.35700000000000004,4,0.841,0.669,0.556,0,1,0.512,0,2019.0,0,2022-09-26,2022-10-17,1913,927,1,2001-08-03,0.563,49,38,0.36,0.5710000000000001,40,30,0.429,3,4,0.0,0,0,0.6,6,4
Jenson Brooksby,0.6459999999999999,0.674,0.316,0.518,0.503,0.037000000000000005,0.068,22,Two-handed,31,33,,,1.02,0.584,0.42200000000000004,,United States,35,0,0.018000000000000002,0.039,"Fast (H, G)",0,1.11,0.516,0,0.33299999999999996,193,2023-01-16,0,1900-01-01 01:54:00,0.5770000000000001,0,Right-handed,1.03,845709,,0.265,0.391,5,0.7609999999999999,0.619,0.54,0,0,0.506,0,2021.0,0,2022-04-03,2022-06-13,1947,920,0,2000-10-26,0.5770000000000001,45,33,0.48,0.61,36,23,0.28600000000000003,2,5,0.0,0,0,0.583,7,5
Albert Ramos,0.623,0.677,0.29600000000000004,0.516,0.502,0.042,0.07200000000000001,35,Two-handed,25,17,2016.0,,1.04,0.609,0.405,,Spain,94,0,0.031,0.037000000000000005,Clay,270,0.97,0.494,0,0.41100000000000003,188,2023-02-27,0,1900-01-01 01:54:00,0.47,0,Left-handed,0.98,8162087,,0.231,0.376,14,0.762,0.616,0.469,0,4,0.496,0,2007.0,0,2017-05-01,2017-05-08,1809,890,7,1988-01-17,0.47,270,304,0.53,0.359,74,132,0.551,190,155,0.0,0,0,0.261,6,17
Marc Andrea Huesler,0.605,0.748,0.24100000000000002,0.528,0.475,0.109,0.086,26,Two-handed,76,47,2022.0,,1.06,0.616,0.408,,Switzerland,112,0,0.033,0.044000000000000004,None,520,0.92,0.488,0,0.5,196,2023-02-27,0,1900-01-01 01:44:00,0.444,0,Left-handed,0.97,408556,,0.153,0.33,6,0.833,0.6609999999999999,0.462,0,1,0.49700000000000005,0,2016.0,0,2023-01-16,2023-02-13,1795,890,1,1996-06-24,0.444,20,25,0.13,0.484,15,16,0.41700000000000004,5,7,0.0,0,0,0.0,0,2
Nicolas Jarry,0.632,0.731,0.259,0.523,0.45799999999999996,0.11,0.067,27,Two-handed,45,38,2023.0,,0.97,0.623,0.366,,Chile,62,0,0.034,0.042,Clay,433,0.87,0.491,0,0.222,198,2023-02-27,0,1900-01-01 01:52:00,0.485,0,Right-handed,0.97,2244274,,0.153,0.33399999999999996,10,0.823,0.655,0.486,0,2,0.496,0,2014.0,0,2019-07-22,2019-07-22,1887,866,2,1995-10-11,0.485,64,68,0.44,0.302,13,30,0.595,47,32,0.0,0,0,0.4,4,6
Mackenzie Mcdonald,0.642,0.6890000000000001,0.287,0.506,0.505,0.063,0.078,27,Two-handed,38,48,2021.0,,1.01,0.605,0.39799999999999996,,United States,38,0,0.03,0.038,"Fast (H, G)",630,0.95,0.49200000000000005,0,0.214,178,2023-02-27,0,1900-01-01 01:53:00,0.461,0,Right-handed,0.98,2708470,,0.21600000000000003,0.37,8,0.772,0.624,0.489,0,0,0.49700000000000005,0,2016.0,0,2023-03-06,2022-08-01,1937,865,1,1995-04-16,0.461,77,90,0.22,0.469,61,69,0.381,8,13,0.0,0,0,0.5,8,8
Laslo Djere,0.6,0.7070000000000001,0.29,0.502,0.48700000000000004,0.065,0.049,27,Two-handed,53,27,2019.0,,0.96,0.608,0.37799999999999995,,Serbia,72,0,0.044000000000000004,0.033,Clay,388,0.94,0.49200000000000005,0,0.5,188,2023-02-27,0,1900-01-01 01:58:00,0.479,0,Right-handed,0.97,3478224,,0.209,0.365,10,0.7759999999999999,0.625,0.46399999999999997,0,2,0.495,0,2013.0,0,2021-07-26,2019-06-10,1863,860,3,1995-06-02,0.479,104,113,0.56,0.325,26,54,0.6,75,50,0.0,0,0,0.25,3,9
Andy Murray,0.581,0.7440000000000001,0.32899999999999996,0.517,0.5489999999999999,0.086,0.061,35,Two-handed,2,1,2016.0,"Dunblane, Scotland",1.14,0.621,0.43200000000000005,Jamie Delgado,United Kingdom,22,1,0.032,0.036000000000000004,Grass,13,1.68,0.564,3,0.894,190,2023-02-20,14,1900-01-01 01:54:00,0.755,2,Right-handed,1.18,62631258,"London, England",0.306,0.415,19,0.818,0.649,0.6890000000000001,0,46,0.53,1,2005.0,41,2009-04-19,2016-11-07,2032,855,314,1987-05-15,0.755,723,235,0.27,0.755,489,159,0.695,107,47,0.727,8,3,0.818,117,26
Jack Draper,0.579,0.752,0.281,0.516,0.515,0.10800000000000001,0.099,21,Two-handed,37,38,,,1.21,0.68,0.386,,United Kingdom,37,0,0.042,0.037000000000000005,None,0,1.3,0.522,0,0.0,191,2023-01-16,0,1900-01-01 01:47:00,0.561,0,Left-handed,1.06,262800,,0.226,0.366,3,0.8270000000000001,0.653,0.594,0,0,0.511,0,2018.0,0,2023-02-27,2023-01-16,1941,854,0,2001-12-22,0.561,23,18,0.08,0.556,15,12,0.5,1,1,0.0,0,0,0.583,7,5
Mikael Ymer,0.6729999999999999,0.643,0.324,0.483,0.517,0.027999999999999997,0.063,24,Two-handed,43,57,,,0.96,0.5589999999999999,0.42200000000000004,,Sweden,54,0,0.039,0.037000000000000005,"Slow (H, Cl)",0,0.96,0.49700000000000005,0,0.25,183,2023-02-27,0,1900-01-01 01:59:00,0.48100000000000004,0,Right-handed,0.97,1652535,,0.27899999999999997,0.39799999999999996,9,0.71,0.59,0.474,0,0,0.496,0,2015.0,0,2022-11-07,2023-03-06,1898,851,0,1998-09-09,0.48100000000000004,64,69,0.41,0.5,49,49,0.433,13,17,0.0,0,0,0.4,2,3
Jaume Munar,0.643,0.674,0.321,0.474,0.5,0.043,0.049,25,Two-handed,76,52,,,0.89,0.584,0.371,,Spain,108,0,0.038,0.04,Clay,0,0.87,0.483,0,0.20800000000000002,183,2023-02-27,0,1900-01-01 02:04:00,0.41100000000000003,0,Right-handed,0.98,2506990,,0.237,0.38799999999999996,9,0.7290000000000001,0.603,0.439,0,0,0.495,0,2014.0,0,2019-05-06,2019-05-20,1797,847,0,1997-05-05,0.41100000000000003,65,93,0.65,0.321,17,36,0.49,47,49,0.0,0,0,0.111,1,8
Emil Ruusuvuori,0.6559999999999999,0.693,0.312,0.493,0.518,0.055,0.068,23,Two-handed,47,40,,,0.93,0.573,0.397,,Finland,65,0,0.046,0.042,Hard,0,1.01,0.501,0,0.5710000000000001,188,2023-02-27,0,1900-01-01 01:51:00,0.493,0,Right-handed,1.04,1436572,,0.244,0.392,7,0.76,0.624,0.486,0,0,0.506,0,2018.0,0,2022-05-08,2022-11-21,1879,846,0,1999-04-02,0.493,68,70,0.26,0.529,54,48,0.375,9,15,0.0,0,0,0.455,5,6
Lorenzo Sonego,0.655,0.725,0.285,0.509,0.46,0.075,0.043,27,Two-handed,25,21,2021.0,,1.0,0.625,0.374,,Italy,51,0,0.024,0.036000000000000004,Grass,321,1.01,0.503,0,0.58,191,2023-02-27,0,1900-01-01 02:02:00,0.488,0,Right-handed,1.01,2978056,,0.183,0.35100000000000003,7,0.8190000000000001,0.6509999999999999,0.505,0,3,0.502,0,2013.0,0,2021-05-24,2021-10-04,1909,835,5,1995-05-11,0.488,98,103,0.3,0.444,44,55,0.5,38,38,0.0,0,0,0.615,16,10
